ID,Name,Texture_0,Texture_1,Texture_2,Texture_3,Texture_4,Texture_5,Flags,SoundBank,SoundID,SpellID,MaxDarkenDepth,FogDarkenIntensity,AmbDarkenIntensity,DirDarkenIntensity,LightID,ParticleScale,ParticleMovement,ParticleTexSlots,MaterialID,MinimapStaticCol,FrameCountTexture_0,FrameCountTexture_1,FrameCountTexture_2,FrameCountTexture_3,FrameCountTexture_4,FrameCountTexture_5,Color_0,Color_1,Float_0,Float_1,Float_2,Float_3,Float_4,Float_5,Float_6,Float_7,Float_8,Float_9,Float_10,Float_11,Float_12,Float_13,Float_14,Float_15,Float_16,Float_17,Int_0,Int_1,Int_2,Int_3,Coefficient_0,Coefficient_1,Coefficient_2,Coefficient_3
15,"Green Lava",XTextures\LavaGreen\lavagreen.%d.blp,XTextures\GreenLava\LavaGreen0,XTextures\GreenLava\LavaGreen1,XTextures\GreenLava\LavaGreen2,,,120,2,3072,0,0,0,0,0,6,4,1,1,2,-1620520960,30,1,1,1,1,1,0,0,0.02500000037,0,0.15000000596,0,2.5,1.5,1.29999995232,0,0,0,1,0.00999999978,0,0,0,0,0,0,0,0,6867968,0,0,0,0,0
17,"WMO Water - Interior",XTextures\river\lake_a.%d.blp,proceduralWmoWaterTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,0,1111,0,0,0,0,0,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,1,0,1,0.25,0.5,270,1,0.5,0.5,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,0.5,1,0,0,1,1250,0,0,0,0,0,0
19,"WMO Magma",XTextures\lava\lava.%d.blp,XTextures\lava\Magma0,XTextures\lava\Magma1,XTextures\lava\Magma2,,,120,2,3072,0,0,0,0,0,7,4,1,1,2,-3119104,30,1,1,1,1,1,0,0,0.02500000037,0.10000000149,0.10000000149,270,2.20000004768,1.79999995232,1.39999997616,270,270,270,1,0.01999999955,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
20,"WMO Slime",XTextures\slime\slime.%d.blp,XTextures\slime\Slime0,XTextures\slime\Slime1,XTextures\slime\Slime2,,,322,3,3880,0,0,0,0,0,6,0,0,0,2,-11879876,30,1,1,1,1,1,0,0,0.02500000037,0.10000000149,0.10000000149,270,2.20000004768,1.79999995232,1.39999997616,270,270,270,0,0.02999999933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Naxxramas - Slime",XTextures\slime\slime.%d.blp,XTextures\slime\Slime0,XTextures\slime\Slime1,XTextures\slime\Slime2,,,322,3,3880,28801,0,0,0,0,6,0,0,0,2,-11879876,30,1,1,1,1,1,0,0,0.02500000037,0,0.02500000037,0,0.55000001192,0.44999998808,0.34999999404,0,0,0,1,0.05000000075,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
41,"Coilfang Raid - Water",XTextures\river\lake_a.%d.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,0,1111,37025,0,0,0,0,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,1,0,1,0.25,0.5,270,1,0.5,0.5,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
61,"Hyjal Past - Water",XTextures\river\lake_a.%d.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,0,1111,42201,0,0,0,0,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,1,0,1,1,2.5,90,1,0.5,0.5,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
81,"Lake Wintergrasp - Water",XTextures\river\lake_a.%d.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,0,1112,36444,0,0,0,0,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,1,0,1,1,2.5,90,1,0.5,0.5,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
100,"Basic Procedural Water",,proceduralOceanDepthTex,XTextures\ocean\oceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,1,1114,0,30,0.5,0.5,0.25,0,1,0,0,3,-1626169131,1,1,1,1,1,1,0,0,1,0,1,0.10000000149,0.5,0,1,1,0.5,0,0,300,0.33300000429,0.20000000298,0.10000000149,0.20000000298,0.80000001192,0.20000000298,1,1250,1250,1250,0,0,0,0
101,"Basic Procedural Water - WMO",,proceduralOceanDepthTex,XTextures\ocean\oceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,1,1114,0,30,0.5,0.5,0,0,1,0,0,3,-1626169131,1,1,1,1,1,1,0,0,1,0,1,0.02500000037,0.125,0,0.10000000149,1,0,0,0,300,0.33300000429,0.20000000298,0.10000000149,0.20000000298,0.80000001192,0.20000000298,1,1250,1250,1250,0,0,0,0
121,"CoA Black - Magma",XTextures\lava\lava.%d.blp,XTextures\lava\Magma0,XTextures\lava\Magma1,XTextures\lava\Magma2,,,120,2,3052,57634,0,0,0,0,7,4,1,1,2,-3119104,30,1,1,1,1,1,0,0,0,0.10000000149,0.02500000037,0,0.55000001192,0.44999998808,0.34999999404,0,0,0,1,0.05000000075,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
141,"Chamber Magma",XTextures\lava\lava.%d.blp,XTextures\lava\Magma0,XTextures\lava\Magma1,XTextures\lava\Magma2,,,120,2,3072,57634,0,0,0,0,7,4,1,1,2,-3119104,30,1,1,1,1,1,0,0,0,0.10000000149,0.02500000037,0,0.55000001192,0.44999998808,0.34999999404,0,0,0,1,0.05000000075,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
181,"Orange Slime",XTextures\LavaOrange\LavaOrange.%d.blp,proceduralRiverDepthTex,XTextures\ocean\oceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,0,1111,0,0,0,0,0,0,1,0,0,1,-1867761,30,1,1,1,1,1,0,0,2,0,8.5,1,1.25,0,0.5,1,1,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,0.20000000298,2.5,0,0,0,1250,0,0,0,0,0,0
221,"Gary Test Water",,proceduralOceanDepthTex,XTextures\ocean\oceanbump.blp,XTextures\foam\waterchop7bw.blp,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,1,1,0,0,1,0,1,0.10000000149,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1250,1250,1250,0,0,0,0
301,"Shallow Water",XTextures\river\lake_a.%d.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,0,1112,0,0,0,0,0,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,1,0,1,1,2.5,90,0.5,0,0.5,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,1,2.5,0.80000001192,0.20000000298,0,1250,0,1250,0,0,0,0
302,"Magma 2",XTextures\lava\Magma0,XTextures\lava\Magma1,XTextures\lava\Magma2,,,,120,2,3072,0,0,0,0,0,7,4,1,1,4,-1613731840,1,1,1,1,1,1,0,0,0.02500000037,0,0.55000001192,0.44999998808,0.34999999404,0,0,0,1,0.05000000075,0,0,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
303,"WMO Magma 2",XTextures\lava\Magma0,XTextures\lava\Magma1,XTextures\lava\Magma2,,,,120,2,3072,0,0,0,0,0,7,4,1,1,4,-1613731840,1,1,1,1,1,1,0,0,0.10000000149,0,2.20000004768,1.79999995232,1.39999997616,0,0,0,1,0.05000000075,0,0,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
321,"New River",,proceduralRiverDepthTex,XTextures\ocean\oceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,1,1114,0,30,0.5,0.5,0,0,1,0,0,3,-1626169131,1,1,1,1,1,1,0,0,1,0,1,0.10000000149,0.5,0,1,1,0,0,0,300,0.33300000429,0.20000000298,0.10000000149,0.20000000298,0.80000001192,0.20000000298,0,1250,1250,1250,0,0,0,0
324,"TEST Shallow Water",,proceduralOceanDepthTex,XTextures\ocean\oceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,1,1114,0,30,0.5,0.5,0,0,1,0,0,3,-1626169131,1,1,1,1,1,1,0,0,1,0,1,0.10000000149,0.5,0,0.10000000149,0,0,0,0,300,0.33300000429,0.20000000298,0.10000000149,0.20000000298,0.80000001192,0.20000000298,1,1250,1250,1250,0,0,0,0
350,"Mercury Water",XTextures\river\lake_a.%d.blp,proceduralOceanDepthTex,XTextures\ocean\mercurybump.blp,,,,15,1,23672,0,30,0.5,0.5,0.25,0,1,0,0,5,-1626169131,30,1,1,1,1,1,0,0,1,0,1,1,1.25,0,0.5,0,0,0.10000000149,0.69999998808,0.20000000298,0.10000000149,1,1.29999995232,2.5,0.80000001192,0.20000000298,1,1250,1,1250,0,0,0,0
397,"Hack Fix Magma for Jesse",XTextures\lava\lava.%d.blp,XTextures\lava\Magma0,XTextures\lava\Magma1,XTextures\lava\Magma2,,,120,2,3052,0,0,0,0,0,7,4,1,1,2,-3119104,30,1,1,1,1,1,0,0,0.02500000037,0,0.02500000037,0,0.55000001192,0.44999998808,0.34999999404,0,0,0,1,0.00499999989,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
404,"Blackwing Descent - Magma",XTextures\lava\lava.%d.blp,XTextures\lava\Magma0,XTextures\lava\Magma1,XTextures\lava\Magma2,,,120,2,3052,81114,0,0,0,0,7,4,1,1,2,-3119104,30,1,1,1,1,1,0,0,0,0.10000000149,0.02500000037,0,0.55000001192,0.44999998808,0.34999999404,0,0,0,1,0.05000000075,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
406,Grid,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,"River Water Smooth",xtextures\river\lake_a.%d.blp,proceduralRiverDepthTex,xtextures\ocean\oceanbump.blp,xtextures\foam\waterchop7bw.blp,,,0,0,1111,0,0,0,0,0,0,0,0,0,1,-10570023,30,1,1,1,1,1,0,0,20,0,0,5,6,0.5,0.5,0,1,0.30000001192,1,0.10000000149,0.10000000149,1,0.20000000298,1,0,0,0,1200,0,0,0,0,0,0
411,"WMO Shallow Water - Interior",XTextures\river\lake_a.%d.blp,proceduralWmoWaterTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,0,1111,0,0,0,0,0,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,1,0,1,0.25,0.5,270,1,0,0.5,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,0.5,2.5,0,0,1,1250,0,0,0,0,0,0
412,"WMO Mercury Water - Interior",XTextures\river\lake_a.%d.blp,proceduralOceanDepthTex,XTextures\ocean\mercurybump.blp,,,,15,1,23672,0,30,0.5,0.5,0.25,0,1,0,0,5,-1626169131,30,1,1,1,1,1,0,0,1,0,1,1,1.25,0,0.5,0,0,0.10000000149,0.69999998808,0.20000000298,0.10000000149,1,1.29999995232,2.5,0.80000001192,0.20000000298,1,1250,1,1250,0,0,0,0
671,"Firelands - Magma",XTextures\lava\lava.%d.blp,XTextures\lava\Magma0,XTextures\lava\Magma1,XTextures\lava\Magma2,,,120,2,24668,97151,0,0,0,0,7,4,1,1,2,-3119104,30,1,1,1,1,1,0,0,0,0.10000000149,0.02500000037,0,0.55000001192,0.44999998808,0.34999999404,0,0,0,1,0.05000000075,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
689,"Fast Water Hyjal Magic",XTextures\river\fast_a.%d.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,0,1111,0,0,0,0,0,0,1,0,0,1,-1626169131,16,1,1,1,1,1,0,0,1,0,1,1,2.5,90,0.5,0.5,0.5,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
733,"Hawaii Liquid Fog",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,31115,0,0,0,0,0,0,1,0,0,10,-7194941,1,1,1,1,1,1,-256,0,0.0001,0.5,1,0.5,0.10000000149,90,0.5,0.5,0.5,0.01999999955,0.01999999955,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
739,"Fall of Azeroth - Magma",XTextures\lava\lava.%d.blp,XTextures\lava\Magma0,XTextures\lava\Magma1,XTextures\lava\Magma2,,,120,2,24668,101619,0,0,0,0,7,4,1,1,2,-3119104,30,1,1,1,1,1,0,0,0,0.10000000149,0.02500000037,0,0.55000001192,0.44999998808,0.34999999404,0,0,0,1,0.05000000075,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
750,"Jade Forest Swamp Fog",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,31115,0,0,0,0,0,0,1,0,0,10,-10521255,1,1,1,1,1,1,-9666983,0,0.0001,0.5,1,0.5,0.10000000149,90,0.5,0.5,0.5,0.01999999955,0.01999999955,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
751,"JF - Witch House Fog",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,31115,0,0,0,0,0,0,1,0,0,10,-5855578,1,1,1,1,1,1,-1367754887,0,0.0001,0.5,1,0.5,0.10000000149,90,0.5,0.5,0.5,0.01999999955,0.01999999955,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
752,TestLavaFog,xtextures\splash\wake.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,1111,0,0,0,0,0,0,1,0,0,10,-7194941,1,1,1,1,1,1,-2090465,0,0.00089999998,0.10000000149,1,1,0.00999999978,45,0.5,0.5,0.5,0.20000000298,0.20000000298,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
760,"ZoneB Forest Fog",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,31115,0,0,0,0,0,0,1,0,0,10,-10521255,1,1,1,1,1,1,-14072257,0,0.00100000005,0.30000001192,1,0.69999998808,0.5,90,0.5,0.5,0.5,0.02999999933,0.02999999933,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
761,"Zone B Marsh Fog",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,31115,0,0,0,0,0,0,1,0,0,10,-3483693,1,1,1,1,1,1,-4930380,0,0.0001,0.5,1,0.5,0.10000000149,90,0.5,0.5,0.5,0.01999999955,0.01999999955,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
763,"Turtle - Staff Forest Fog",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,31115,0,0,0,0,0,0,1,0,0,10,-10521255,1,1,1,1,1,1,-551837768,0,0.00100000005,0.30000001192,1,0.69999998808,0.5,90,0.5,0.5,0.5,0.02999999933,0.02999999933,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
764,"Despair Fog",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,31115,0,0,0,0,0,0,1,0,0,10,-10521255,1,1,1,1,1,1,-547672715,0,0.00100000005,0.30000001192,1,0.69999998808,0.5,90,0.5,0.5,0.5,0.02999999933,0.02999999933,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
765,"Mogu Creepy Fog",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,0,0,0,0,0,0,0,0.10000000149,2,4,10,-10521255,1,1,1,1,1,1,-10583676,0,0.00100000005,0.10000000149,1,0.5,0.5,24,0.5,0.5,0.5,0.01999999955,0.01999999955,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
787,"Sha Fog",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,0,0,0,0,0,0,0,0.10000000149,2,4,10,-10521255,1,1,1,1,1,1,-1341516484,0,0.0001,0.80000001192,1,1,1,24,0.5,0.5,0.5,0.05000000075,0.05000000075,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
805,"Black Bamboo Fog",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,0,0,0,0,0,0,0,0.10000000149,0,4,10,-10521255,1,1,1,1,1,1,-10976892,0,0.00100000005,0.10000000149,1,0.5,0.5,24,0.5,0.5,0.5,0.01999999955,0.01999999955,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
806,"Zone D - Mogu Ruins Fog",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,0,0,0,0,0,0,0,1,0,0,10,-6969690,1,1,1,1,1,1,-6306881,0,0.0001,0.5,1,0.5,0.10000000149,25,0.5,0.5,0.5,0.01999999955,0.01999999955,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
807,"Zone D - FogBeast",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,31115,0,0,0,0,0,0,1,0,0,10,-5855578,1,1,1,1,1,1,-11972083,0,0.0001,0.5,1,0.5,0.10000000149,25,0.5,0.5,0.5,0.01999999955,0.01999999955,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
808,"Dread Wastes Sha Scar Fog black",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,0,0,0,0,0,0,0,1,0,0,10,-262110,1,1,1,1,1,1,-15728640,0,0.0001,0.5,1,0.5,0.10000000149,90,0.5,0.5,0.5,0.01999999955,0.01999999955,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
809,"Dread Wastes Sha Scar Fog red",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,0,0,0,0,0,0,0,1,0,0,10,-262110,1,1,1,1,1,1,-10616832,0,0.0001,0.5,1,0.5,0.10000000149,90,0.5,0.5,0.5,0.01999999955,0.01999999955,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
812,"Zone D - Mantid_Mystic_Lake",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,31115,0,0,0,0,0,0,1,0,0,10,-10395295,1,1,1,1,1,1,-10592674,0,0.0001,0.5,1,0.5,0.10000000149,25,0.5,0.5,0.5,0.01999999955,0.01999999955,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
814,"ITK - Swamp Fog",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,31115,0,0,0,0,0,0,1,0,0,10,-10521255,1,1,1,1,1,1,-10977864,0,0.00100000005,0.30000001192,1,0.69999998808,0.5,90,0.5,0.5,0.5,0.02999999933,0.02999999933,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
834,"Purple Sands Fog",xtextures\fx\density.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,8,0,31115,0,0,0,0,0,0,1,0,0,10,-7194941,1,1,1,1,1,1,-4217418,0,0.0001,0.69999998808,1,1,0.10000000149,90,0.5,0.5,0.5,0.09000000358,0.09000000358,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
